        Precio,   Exportaciones
97.98278238,980.8127742
103.3529378,1016.657214
100.7709019,893.4956452
97.75538465,1057.087467
97.90686137,914.6077097
96.99315262,943.7099
99.67255473,1033.857097
99.24413979,977.7406129
98.145716,1007.07
93.87329271,1011.747161
88.48589818,984.7708667
89.40965915,1031.808677
88.31080763,893.0505161
90.82224026,1005.593571
91.39522378,890.6115806
93.88863016,858.8093
95.08630895,900.7372581
97.01104616,877.4954667
93.3201661,863.5452258
89.50744865,946.0627742
84.12824349,949.0945667
72.50935785,882.7211613
63.47980026,934.6265333
50.18137525,1012.52471
40.45127204,970.9620645
45.98606029,930.4431071
46.01733148,871.8022581
49.32555079,750.1818
52.0391048,748.3894516
52.82572539,735.7843
45.16594928,879.7782903
38.41926618,931.285129
36.29036188,895.4855667
34.86076818,899.8571613
32.50882892,857.3915333
26.19609555,780.8091935
23.10238236,796.7650968
23.72933001,886.6427586
28.32656326,774.4292903
31.33581838,853.7165667
36.72636094,980.1192903
39.80714565,967.6452667
37.97152615,904.3904516
37.7409033,973.451
36.82666068,1052.1847
40.66835633,1046.482613
38.36162335,993.6913
42.32596222,975.4780645
44.50008104,936.8024194
44.17497054,1088.673
41.93242754,965.0702258
43.22117983,976.3227667
43.85074224,950.1525484
41.15105027,1046.238567
43.87771389,1117.720516
45.55484158,967.441
48.16236969,1000.479367
48.89113544,1195.702839
53.34504797,1264.6378
54.05575551,1322.805323
57.45399465,1051.304032
56.15676166,1354.427643
57.22458411,1136.200839
58.1597321,1114.557633
62.8992885,1189.271839
64.63686462,1109.793033
66.42161929,1155.842129
64.26566559,1181.064484
68.36348218,1205.853
71.15330415,1026.635968
59.82583024,1134.635133
51.86866879,1198.195677
54.0566599,1071.451968
57.37980963,1475.278321
59.46449237,1150.298677
62.07702999,1023.421733
60.33673635,1204.69571
56.90537275,995.0349333
57.8757972,1078.682548
49.58496078,1081.375
55.05521759,994.5735
51.00462652,963.0636129
50.68969414,1114.438567
54.54901323,1066.429677
49.7929933,1212.240516
44.63505005,990.4274828
28.9230229,1079.189355
